,Transcript_Num,pred_1,pred_2,pred_3
0,0,unconfident down,unconfident up,unconfident up
1,1,confident up,unconfident up,confident up
2,2,confident up,confident up,unconfident down
3,3,confident up,confident up,confident up
4,4,unconfident down,confident up,confident up
5,5,confident up,confident up,unconfident up
6,6,unconfident up,confident down,confident up
7,7,confident up,confident up,unconfident up
8,8,confident up,confident up,unconfident up
9,9,unconfident up,unconfident down,unconfident up
10,10,confident up,unconfident down,unconfident down
11,11,unconfident up,unconfident up,unconfident up
12,12,confident up,unconfident up,confident up
13,13,unconfident up,unconfident down,unconfident up
14,14,confident up,confident up,confident down
15,15,confident up,unconfident up,confident up
16,16,unconfident up,unconfident down,unconfident down
17,17,confident down,unconfident down,unconfident down
18,18,unconfident down,confident down,confident down
19,19,confident up,unconfident down,confident down
20,20,unconfident down,unconfident down,unconfident up
21,21,unconfident up,confident up,unconfident down
22,22,unconfident up,unconfident up,unconfident up
23,23,unconfident up,unconfident up,confident up
24,24,unconfident down,confident down,unconfident down
25,25,unconfident down,unconfident down,unconfident up
26,26,confident up,confident up,confident up
27,27,confident up,unconfident down,unconfident up
28,28,confident up,confident up,confident up
29,29,confident up,confident up,unconfident down
30,30,confident up,confident up,confident up
31,31,unconfident up,unconfident up,unconfident up
32,32,unconfident down,confident up,confident up
33,33,confident up,unconfident down,confident down
34,34,unconfident down,unconfident down,unconfident down
35,35,unconfident down,confident down,unconfident down
36,36,unconfident up,unconfident up,unconfident up
37,37,unconfident up,unconfident down,confident up
38,38,confident up,confident up,unconfident up
39,39,confident up,unconfident up,confident up
40,40,unconfident up,unconfident up,confident up
41,41,confident up,confident up,confident up
42,42,confident up,confident up,unconfident up
43,43,unconfident up,confident up,confident up
44,44,unconfident down,confident up,unconfident up
45,45,unconfident up,unconfident up,confident up
46,46,unconfident down,confident up,unconfident up
47,47,unconfident down,confident down,confident down
48,48,unconfident up,unconfident down,unconfident down
49,49,confident up,unconfident down,unconfident up
50,50,confident up,unconfident down,unconfident up
51,51,confident up,unconfident down,unconfident up
52,52,unconfident up,unconfident up,unconfident up
53,53,unconfident up,confident up,unconfident up
54,54,confident down,unconfident down,unconfident down
55,55,confident down,unconfident down,unconfident down
56,56,unconfident down,unconfident up,confident up
57,57,unconfident up,unconfident down,unconfident down
58,58,confident up,confident up,confident up
59,59,unconfident up,confident up,unconfident down
60,60,confident up,unconfident up,unconfident down
61,61,unconfident down,unconfident up,unconfident up
62,62,confident up,unconfident up,unconfident down
63,63,confident up,confident down,unconfident up
64,64,unconfident down,unconfident down,unconfident down
65,65,unconfident up,confident up,confident up
66,66,confident up,unconfident down,unconfident up
67,67,unconfident up,confident up,unconfident up
68,68,confident up,confident up,confident up
69,69,unconfident down,confident down,confident down
70,70,confident up,unconfident down,confident up
71,71,confident up,unconfident down,confident up
72,72,unconfident up,unconfident up,confident up
73,73,unconfident down,confident down,confident up
74,74,confident up,confident down,confident down
75,75,unconfident up,confident up,unconfident up
76,76,confident down,unconfident up,unconfident up
77,77,unconfident up,unconfident up,confident up
78,78,confident down,unconfident down,confident down
79,79,unconfident down,unconfident up,confident up
80,80,unconfident down,unconfident up,confident up
81,81,unconfident up,confident up,unconfident up
82,82,unconfident up,confident up,confident down
83,83,unconfident down,unconfident down,unconfident up
84,84,confident down,confident up,confident down
85,85,unconfident down,unconfident up,unconfident up
86,86,confident up,confident up,confident up
87,87,confident up,confident up,confident up
88,88,unconfident up,unconfident down,unconfident down
89,89,confident down,unconfident up,confident up
90,90,unconfident up,unconfident down,unconfident up
91,91,unconfident down,unconfident down,confident up
92,92,confident up,confident up,confident up
93,93,unconfident up,confident up,confident up
94,94,confident up,confident up,unconfident down
95,95,confident up,confident up,unconfident down
96,96,unconfident up,unconfident up,unconfident down
97,97,unconfident up,unconfident up,confident up
98,98,confident up,confident up,confident up
99,99,unconfident down,unconfident up,confident up
100,100,unconfident down,confident down,unconfident down
101,101,confident up,confident up,unconfident up
102,102,confident up,confident up,confident up
103,103,unconfident up,confident up,unconfident up
104,104,unconfident down,unconfident down,confident down
105,105,confident up,confident up,confident up
106,106,unconfident up,confident up,confident up
107,107,unconfident up,confident up,unconfident up
108,108,confident up,unconfident up,confident up
109,109,unconfident down,"unconfident up 

",unconfident down
110,110,confident down,unconfident down,confident up
111,111,unconfident up,unconfident up,confident up
112,112,unconfident down,confident down,confident down
113,113,confident up,unconfident down,unconfident up
114,114,unconfident up,unconfident up,unconfident up
115,115,unconfident down,unconfident up,unconfident down
116,116,confident down,unconfident down,confident up
117,117,confident up,unconfident down,confident down
118,118,unconfident up,unconfident down,confident up
119,119,unconfident up,unconfident up,confident up
120,120,unconfident down,unconfident down,confident up
121,121,confident up,confident up,confident up
122,122,confident up,confident up,confident up
123,123,unconfident down,unconfident down,unconfident down
124,124,unconfident down,confident up,unconfident up
125,125,unconfident up,unconfident down,unconfident up
126,126,confident up,unconfident down,unconfident down
127,127,unconfident down,unconfident down,unconfident down
128,128,unconfident up,unconfident down,unconfident down
129,129,confident up,confident up,confident up
130,130,confident up,confident up,unconfident up
131,131,unconfident down,confident up,confident up
132,132,confident down,unconfident down,confident down
133,133,unconfident up,unconfident up,confident up
134,134,unconfident down,unconfident down,confident down
135,135,confident down,unconfident up,unconfident down
136,136,unconfident up,unconfident down,unconfident up
137,137,unconfident up,confident up,unconfident up
138,138,unconfident up,unconfident down,unconfident up
139,139,unconfident down,confident up,confident up
140,140,unconfident up,unconfident down,unconfident up
141,141,confident up,confident up,unconfident down
142,142,confident up,confident up,confident up
143,143,confident up,unconfident up,confident up
144,144,unconfident up,confident down,confident down
145,145,confident up,unconfident up,confident up
146,146,confident up,unconfident up,unconfident down
147,147,confident down,unconfident up,unconfident up
148,148,confident down,unconfident up,unconfident up
149,149,confident down,confident down,confident down
150,150,confident up,confident up,unconfident up
151,151,unconfident up,confident up,confident up
152,152,confident up,confident up,unconfident up
153,153,unconfident down,unconfident up,unconfident down
154,154,unconfident up,unconfident up,unconfident up
155,155,unconfident up,unconfident up,confident up
156,156,confident down,confident down,unconfident up
157,157,unconfident up,confident up,confident up
158,158,unconfident down,unconfident up,unconfident down
159,159,unconfident down,confident up,confident up
160,160,unconfident up,confident up,confident down
161,161,unconfident down,confident up,unconfident down
162,162,unconfident down,confident up,unconfident down
163,163,confident up,unconfident down,unconfident down
164,164,unconfident up,unconfident up,unconfident down
165,165,unconfident down,confident up,confident up
166,166,confident up,confident up,confident up
167,167,confident up,unconfident down,unconfident down
168,168,unconfident up,confident up,unconfident down
169,169,unconfident down,unconfident down,unconfident down
170,170,confident down,confident up,unconfident down
171,171,confident down,unconfident up,confident down
172,172,unconfident down,unconfident down,unconfident up
173,173,unconfident up,confident up,confident up
174,174,unconfident down,confident down,unconfident down
175,175,unconfident down,unconfident down,confident down
176,176,confident up,unconfident down,confident down
177,177,confident up,confident up,confident up
178,178,confident up,confident up,confident up
179,179,confident up,unconfident down,confident down
180,180,confident down,unconfident down,confident up
181,181,confident up,unconfident up,unconfident up
182,182,unconfident down,unconfident down,unconfident down
183,183,confident up,confident up,confident up
184,184,unconfident up,unconfident down,unconfident down
